Model,RMSE,MSE,MAE,R2 Score
Linear Regression,9.411405482688323,88.57455315957584,7.297138905897743,0.9512265726254268
Gradient Boosting,9.503874121258836,90.32362331273342,7.225210167585271,0.9502634501139943
CatBoost,9.571529613683984,91.61417914562948,7.014850225820936,0.9495528077348542
XGBoost,10.956574014672892,120.04651413900527,8.50514436985896,0.9338965907241897
Random Forest,12.01338630454278,144.32145050217602,8.252875000000005,0.9205296382135917
LightGBM,14.156236403690897,200.3990291171834,10.846184794667163,0.8896506147203155
Decision Tree,16.917964870173485,286.2175353484241,12.687998397435896,0.8423947999094534
K-Nearest Neighbors,17.420985758075716,303.49074478307693,13.916261538461539,0.8328833364491859
ARIMA,43.32308493006576,1876.8896878576913,35.60626352713777,-0.03350612128846886
LSTM,52.60108717555865,2766.8743720507214,39.87130755263109,-0.5235746772174852
